s;l
1013;trip.maximum.engine.speed
1014;trip.average.engine.speed
1015;trip.drive.average.load.factor
1016;total.drive.average.load.factor
1017;total.engine.cruise.time
1018;trip.maximum.vehicle.speed
1019;trip.cruise.distance
1020;trip.number.of.hot.shutdowns
1021;trip.number.of.idle.shutdowns
1022;trip.number.of.idle.shutdown.overrides
1023;trip.sudden.decelerations
1024;trip.time.in.vsl
1025;trip.time.in.top.gear
1026;trip.time.in.gear.down
1027;trip.time.in.derate.by.engine
1028;total.engine.pto.fuel.used.1
1029;trip.average.fuel.rate.1
1030;total.engine.pto.fuel.used.2
1031;trip.average.fuel.rate.2
1032;total.ecu.distance
1033;total.ecu.run.time
1034;trip.cruise.time
1035;trip.pto.time
1036;trip.engine.running.time
1037;trip.idle.time
1038;trip.air.compressor.on.time
1039;trip.fuel
1040;total.fuel.used
1041;start.signal.indicator
1042;electronic.tractortrailer.interface
1043;internal.sensor.voltage.supply
1044;hydraulic.pump.motor
1045;brake.light.switch.1
1046;brake.light.switch.2
1047;electronic.pressure.control.axle.1
1048;pneumatic.backup.pressure.control.axle.1
1049;brake.pressure.sensing.axle.1
1050;electronic.pressure.control.axle.2
1051;pneumatic.backup.pressure.control.axle.2
1052;brake.pressure.sensing.axle.2
1053;electronic.pressure.control.axle.3
1054;pneumatic.backup.pressure.control.axle.3
1055;brake.pressure.sensing.axle.3
1056;electronic.pressure.control.trailer.control
1057;pneumatic.backup.pressure.control.trailer.control
1058;brake.pressure.sensing.trailer.control
1059;axle.load.sensor
1060;lining.wear.sensor.axle.1.left
1061;lining.wear.sensor.axle.1.right
1062;lining.wear.sensor.axle.2.left
1063;lining.wear.sensor.axle.2.right
1064;lining.wear.sensor.axle.3.left
1065;lining.wear.sensor.axle.3.right
1066;brake.signal.transmitter
1067;brake.signal.sensor.1
1068;brake.signal.sensor.2
1069;tire.dimension.supervision
1070;vehicle.deceleration.control
1071;cooling.fan.drive.output
1072;engine.compression.brake.output.1
1073;engine.compression.brake.output.2
1074;engine.exhaust.brake.output
1075;engine.electric.lift.pump.for.engine.fuel.supply
1076;engine.fuel.injection.pump.fuel.control.valve
1077;engine.fuel.injection.pump.controller
1078;engine.fuel.injection.pump.speedposition.sensor
1079;sensor.supply.voltage.1
1080;sensor.supply.voltage.2
1081;engine.wait.to.start.lamp
1082;engine.coolant.load.increase
1083;auxiliary.io.channel.1
1084;auxiliary.io.channel.2
1085;intended.retarder.percent.torque
1086;parking.andor.trailer.air.pressure
1087;service.brake.air.pressure.circuit.1
1088;service.brake.air.pressure.circuit.2
1089;auxiliary.equipment.supply.pressure
1090;air.suspension.supply.pressure
1091;brake.application.pressure.high.range.front.axle.left.wheel
1092;brake.application.pressure.high.range.front.axle.right.wheel
1093;brake.application.pressure.high.range.rear.axle.1.left.wheel
1094;brake.application.pressure.high.range.rear.axle.1.right.wheel
1095;brake.application.pressure.high.range.rear.axle.2.left.wheel
1096;brake.application.pressure.high.range.rear.axle.2.right.wheel
1097;brake.application.pressure.high.range.rear.axle.3.left.wheel
1098;brake.application.pressure.high.range.rear.axle.3.right.wheel
1099;brake.lining.remaining.front.axle.left.wheel
1100;brake.lining.remaining.front.axle.right.wheel
1101;brake.lining.remaining.rear.axle.1.left.wheel
1102;brake.lining.remaining.rear.axle.1.right.wheel
1103;brake.lining.remaining.rear.axle.2.left.wheel
1104;brake.lining.remaining.rear.axle.2.right.wheel
1105;brake.lining.remaining.rear.axle.3.left.wheel
